order_line_number,order_line_id,customer_reference,digikey_sku,ordered_mpn,quantity_ordered,quantity_received,status,unit_price_cad,extended_price_cad,source_ids,use
41,ORDER-LINE-051,CS-051,817-2400-ND,FN2090A-1-06,1,0,On the way,55.46000,55.46,BOM-05,Enclosure mains: Manufactured two-stage EMI filter
42,ORDER-LINE-052,CS-052,WM1785-ND,0430250600,10,0,On the way,0.67500,6.75,BOM-06,Sensor harness: Six-position cable receptacle housing
43,ORDER-LINE-053,CS-053,486-1032-ND,6200.23,1,0,On the way,6.61000,6.61,BOM-10,Enclosure: Standard mains input
44,ORDER-LINE-055,CS-055,F4609-ND,0215002.MXP,2,0,On the way,3.65000,7.30,BOM-12 BOM-123,Mains: 2 A time-lag inlet fuse F1; Service 2 A time-lag cartridge
45,ORDER-LINE-057,CS-057,1067-467MP-1-5-ND,467MP-1-5,1,0,On the way,19.65000,19.65,BOM-22,Sensor mount: Thin uniform adhesive film for sensor-to-glass mounting
46,ORDER-LINE-060,CS-060,WM1846-ND,0436450300,3,0,On the way,0.62000,1.86,BOM-36,Controller/mains harness: Three-position LV cable housing
47,ORDER-LINE-061,CS-061,WM1783-ND,0430250200,3,0,On the way,0.56000,1.68,BOM-39,12 V harness: Two-position cable housing
48,ORDER-LINE-065,CS-065,A27817-ND,2-520184-2,10,0,On the way,0.42600,4.26,BOM-57,Mains harness: Insulated 6.35 mm receptacle
49,ORDER-LINE-066,CS-066,A27238-ND,31886,2,0,On the way,0.86000,1.72,BOM-58,PE harness: Inlet and filter PE stud ring
50,ORDER-LINE-067,CS-067,A27237-ND,320551,1,0,On the way,0.62000,0.62,BOM-59,PE harness: Pigtail PE stud ring
51,ORDER-LINE-068,CS-068,3720-M3231-ND,M3231,1,0,On the way,2.01000,2.01,BOM-60,Enclosure: Output cord gland
52,ORDER-LINE-071,CS-071,839-10-02248-ND,10-02248,1,0,On the way,5.03000,5.03,BOM-93,Service kit: Barrel adapter cable for JST XH service harness
53,ORDER-LINE-072,CS-072,F1468-ND,01500274Z,1,0,On the way,6.25000,6.25,BOM-122,Service kit: Service inline fuse holder
54,ORDER-LINE-073,CS-073,455-2266-ND,XHP-2,2,0,On the way,0.16000,0.32,BOM-126,Service harness: Two-position 5 V service housing
55,ORDER-LINE-074,CS-074,BXH-001T-P0.6-ND,BXH-001T-P0.6,10,0,On the way,0.07300,0.73,BOM-127,Service harness: 5 V service crimp contacts
56,ORDER-LINE-075,CS-075,WM1837-ND,0430300007,25,0,On the way,0.23560,5.89,BOM-08 BOM-37 BOM-40,Sensor and board-to-board harnesses: Female crimp contact
57,ORDER-LINE-077,CS-077,3720-8463-ND,8463,2,0,On the way,0.50000,1.00,ORDER-02,Enclosure and assembly stock: Black nylon1/2NPT gland locknut
58,ORDER-LINE-083,CS-083,277-16905-ND,3240707,10,0,On the way,0.08900,0.89,ORDER-08,Enclosure and assembly stock: Glass-side external cable anchors
59,ORDER-LINE-091,CS-091,952-2015-ND,R30-6700794,5,0,On the way,0.94400,4.72,ORDER-16,Enclosure and assembly stock: Lower PCB supports
60,ORDER-LINE-092,CS-092,952-1526-ND,R30-6700394,5,0,On the way,0.47800,2.39,ORDER-17,Enclosure and assembly stock: Upper PCB spacers
61,ORDER-LINE-015,CS-015,1276-3103-1-ND,CL31B106KLHNNNE,10,0,On the way,0.74600,7.46,BOM-66,controller: C44; sensor: C1 C2
62,ORDER-LINE-026,CS-026,541-330HCT-ND,CRCW0603330RFKEA,10,0,On the way,0.05000,0.50,BOM-91,controller: R55
63,ORDER-LINE-034,CS-034,445-180363-1-ND,CGA6P3X7R1E226M250AB,10,0,On the way,1.77800,17.78,BOM-63,controller: C1 C2 C3 C4 C5 C47; mains: C2 C3 C4 C6
64,ORDER-LINE-050,CS-050,516-1310-ND,HLMP-1790,2,0,On the way,0.95000,1.90,BOM-19,controller: D4
65,ORDER-LINE-095,CS-095,RPC7082-ND,04M030050HN,20,0,On the way,0.12800,2.56,ORDER-21,Enclosure and assembly stock: Corner-stop and upper-support nuts
66,ORDER-LINE-096,CS-096,RPC1552-ND,MFW030A,50,0,On the way,0.09400,4.70,ORDER-22,Enclosure and assembly stock: PCB/corner-stop washers
67,ORDER-LINE-086,CS-086,RPC6312-ND,04M040070HN,50,0,On the way,0.16020,8.01,ORDER-11,Enclosure and assembly stock: Frame/base elevation locking nuts
68,ORDER-LINE-087,CS-087,RPC10430-ND,16M04090080,50,0,On the way,0.09940,4.97,ORDER-12,Enclosure and assembly stock: Frame/base washers
69,ORDER-LINE-093,CS-093,RPC7004-ND,50M030050P016,6,0,On the way,0.18800,1.13,ORDER-18,Enclosure and assembly stock: Lower PCB through-bolts
70,ORDER-LINE-094,CS-094,145-50M030050H012-ND,50M030050H012,16,0,On the way,0.17000,2.72,ORDER-20,Enclosure and assembly stock: Corner stop and upper rail through-fasteners
71,ORDER-LINE-102,CS-102,RPC7018-ND,50M040070D030,5,0,On the way,0.20600,1.03,ORDER-28,Enclosure and assembly stock: PE bracket base bolts
72,ORDER-LINE-059,CS-059,486-3-125-661-ND,3-125-661,1,0,On the way,3.25000,3.25,BOM-34,Enclosure: IEC rear terminal cover
