"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","UNIT OF MEASURE","CUSTOMER REFERENCE","AVAILABILITY","UNIT PRICE"
"47","3","WM1783-ND","0430250200","CONN RCPT HSG 2POS 3.00MM","","CS-061","Immediate","0.56000"
"48","10","A27817-ND","2-520184-2","CONN QC RCPT 18-22AWG 0.250","","CS-065","Immediate","0.42600"
"49","2","A27238-ND","31886","CONN RING CIRC 16-22AWG #8 CRIMP","","CS-066","Immediate","0.86000"
"50","1","A27237-ND","320551","CONN RING CIRC 16-22AWG #8 CRIMP","","CS-067","Immediate","0.62000"
"51","1","3720-M3231-ND","M3231","CABLE GRIP 4.32-11.43MM 1/2"" NPT","","CS-068","Immediate","2.01000"
"52","1","839-10-02248-ND","10-02248","CABLE ASSY 2.1MM JACK-CBL RND","","CS-071","Immediate","5.03000"
"53","1","F1468-ND","01500274Z","FUSE HLDR CART 350V 10A IN LINE","","CS-072","Immediate","6.25000"
"54","2","455-2266-ND","XHP-2","CONN RCPT HSG 2POS 2.50MM","","CS-073","Immediate","0.16000"
"55","10","BXH-001T-P0.6-ND","BXH-001T-P0.6","CONN SOCKET 22-26AWG CRIMP TIN","","CS-074","Immediate","0.07300"
"56","25","WM1837-ND","0430300007","CONN SOCKET 20-24AWG CRIMP TIN","","CS-075","Immediate","0.23560"
"57","2","3720-8463-ND","8463","NLN 1/2 NPT BLACK","","CS-077","Immediate","0.50000"
"58","10","277-16905-ND","3240707","CABLE TIE HLDR QUAD ADHESIVE BLK","","CS-083","Immediate","0.08900"
"59","5","952-2015-ND","R30-6700794","ROUND SPACER M3 NYLON 7MM","","CS-091","Immediate","0.94400"
"60","5","952-1526-ND","R30-6700394","ROUND SPACER M3 NYLON 3MM","","CS-092","Immediate","0.47800"
"61","10","1276-3103-1-ND","CL31B106KLHNNNE","CAP CER 10UF 35V X7R 1206","","CS-015","Immediate","0.74600"
"62","10","541-330HCT-ND","CRCW0603330RFKEA","RES SMD 330 OHM 1% 1/8W 0603","","CS-026","Immediate","0.05000"
"63","10","445-180363-1-ND","CGA6P3X7R1E226M250AB","CAP CER 22UF 25V X7R 1210","","CS-034","Immediate","1.77800"
"64","2","516-1310-ND","HLMP-1790","LED GREEN DIFFUSED T-1 T/H","","CS-050","Immediate","0.95000"
"65","20","RPC7082-ND","04M030050HN","NUT HEX NYLON M3X0.5","","CS-095","Immediate","0.12800"
"66","50","RPC1552-ND","MFW030A","WASHER FLAT M3 NYLON","","CS-096","Immediate","0.09400"
"67","50","RPC6312-ND","04M040070HN","NUT HEX NYLON M4","","CS-086","Immediate","0.16020"
"68","50","RPC10430-ND","16M04090080","WASHER FLAT M4 NYLON","","CS-087","Immediate","0.09940"
"69","6","RPC7004-ND","50M030050P016","MACH SCREW PAN PHILLIPS M3X0.5","","CS-093","Immediate","0.18800"
"70","16","145-50M030050H012-ND","50M030050H012","MACH SCREW FLAT SLOTTED M3X0.5","","CS-094","Immediate","0.17000"
"71","5","RPC7018-ND","50M040070D030","BOLT CHEESE HEAD SLOTTED M4X0.7","","CS-102","Immediate","0.20600"
"72","1","486-3-125-661-ND","3-125-661","RC320-01 REAR COVER","","CS-059","Immediate","3.25000"

